Sector,2011,2012,2013,2014,2015,2016,2017,2018,2019
Power,22628.46,16077.71,11284,10720,10889,11616,12028,12005,11029
Industrial & Manufacturing,29.61,0,261,533,545,794,999,1086,701
Natural Gas Distribution,0,0,5904,5416,5464,7350,8585,9206,10883
Tea Plantation,5598.79,5779.84,196,180,187,183,189,192,200
Internal Consumption,175.28,182.1,372,351,410,471,496,541,525
Refinery,385.14,386.82,3968,4575,5077,5374,6533,7047,7786
LPG Shrinkage,4256.87,3890.54,982,1005,754,759,798,874,858
Miscellaneous,9063.73,7975.9,7479,5941,4112,3746,3226,3393,4209
Fertilizer Industry,14003.32,14733.29,15869,15190,16135,15429,14676,14987,16115
Petrochemical,1857.69,2485.96,2405,2890,3733,4170,4024,3386,3569
Sponge Iron,1333.26,1105.74,274,154,544,885,1278,1124,567
